"","x"
"Cell1080","1"
"Cell1081","2"
"Cell1082","1"
"Cell1083","2"
"Cell1084","5"
"Cell1085","6"
"Cell1086","3"
"Cell1087","5"
"Cell1088","3"
"Cell1089","1"
"Cell1090","3"
"Cell1091","1"
"Cell1092","1"
"Cell1093","2"
"Cell1094","6"
"Cell1095","4"
"Cell1096","2"
"Cell1097","3"
"Cell1098","3"
"Cell1099","5"
"Cell1100","7"
"Cell1101","4"
"Cell1102","4"
"Cell1103","1"
"Cell1104","3"
"Cell1105","1"
"Cell1106","7"
"Cell1107","1"
"Cell1108","7"
"Cell1109","2"
"Cell1110","4"
"Cell1111","3"
"Cell1112","3"
"Cell1113","6"
"Cell1114","5"
"Cell1115","3"
"Cell1116","2"
"Cell1117","4"
"Cell1118","9"
"Cell1119","3"
"Cell1120","5"
"Cell1121","2"
"Cell1122","1"
"Cell1123","1"
"Cell1124","6"
"Cell1125","4"
"Cell1126","6"
"Cell1127","3"
"Cell1128","3"
"Cell1129","1"
"Cell1130","5"
"Cell1131","6"
"Cell1132","5"
"Cell1133","8"
"Cell1134","1"
"Cell1135","4"
"Cell1136","1"
"Cell1137","9"
"Cell1138","8"
"Cell1139","3"
"Cell1140","6"
"Cell1141","6"
"Cell1142","5"
"Cell1143","3"
"Cell1144","3"
"Cell1145","3"
"Cell1146","4"
"Cell1147","3"
"Cell1148","2"
"Cell1149","1"
"Cell1150","4"
"Cell1151","3"
"Cell1152","3"
"Cell1153","5"
"Cell1154","6"
"Cell1155","1"
"Cell1156","1"
"Cell1157","1"
"Cell1158","1"
"Cell1159","5"
"Cell1160","5"
"Cell1161","2"
"Cell1162","1"
"Cell1163","4"
"Cell1164","3"
"Cell1165","1"
"Cell1166","1"
"Cell1167","2"
"Cell1168","9"
"Cell1169","3"
"Cell1170","1"
"Cell1171","1"
"Cell1172","1"
"Cell1173","7"
"Cell1174","5"
"Cell1175","2"
"Cell1176","3"
"Cell1177","9"
"Cell1178","1"
"Cell1179","2"
"Cell1180","1"
"Cell1181","1"
"Cell1182","3"
"Cell1183","2"
"Cell1184","7"
"Cell1185","2"
"Cell1186","1"
"Cell1187","1"
"Cell1188","1"
"Cell1189","1"
"Cell1190","5"
"Cell1191","2"
"Cell1192","4"
"Cell1193","1"
"Cell1194","4"
"Cell1195","2"
"Cell1196","1"
"Cell1197","2"
"Cell1198","4"
"Cell1199","7"
"Cell1200","7"
"Cell1201","2"
"Cell1202","2"
"Cell1203","2"
"Cell1204","3"
"Cell1205","6"
"Cell1206","5"
"Cell1207","6"
"Cell1208","3"
"Cell1209","2"
"Cell1210","9"
"Cell1211","6"
"Cell1212","1"
"Cell1213","3"
"Cell1214","1"
"Cell1215","1"
"Cell1216","4"
"Cell1217","5"
"Cell1218","7"
"Cell1219","9"
"Cell1220","2"
